epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,2778.83,0.61024,0.59758,1.08099,0.69511,0.59712,0.61271,0.52673,0.80886,1.31708,1.25192,0.006865,0.006865,0.006865
97,2807.71,0.60438,0.5924,1.06977,0.72912,0.56282,0.62107,0.5399,0.81778,1.29992,1.24918,0.006832,0.006832,0.006832
98,2836.55,0.60608,0.60099,1.07481,0.70011,0.58321,0.64099,0.54397,0.83778,1.405,1.2863,0.006799,0.006799,0.006799
99,2865.37,0.60492,0.59978,1.07641,0.75277,0.55149,0.62329,0.5333,0.8152,1.36859,1.27053,0.006766,0.006766,0.006766
100,2894.06,0.59991,0.58383,1.06745,0.73672,0.56588,0.60139,0.50562,0.84456,1.40957,1.25967,0.006733,0.006733,0.006733
101,2923.39,0.60076,0.58224,1.06795,0.7001,0.61431,0.64156,0.53867,0.84135,1.38685,1.26843,0.0067,0.0067,0.0067
102,2953.01,0.59608,0.57939,1.06664,0.6871,0.61303,0.62228,0.52859,0.80826,1.4109,1.24394,0.006667,0.006667,0.006667
103,2982.5,0.59347,0.57803,1.06389,0.69001,0.59279,0.63789,0.54494,0.83157,1.34596,1.25384,0.006634,0.006634,0.006634
104,3011.21,0.58633,0.56383,1.05727,0.70296,0.62118,0.63538,0.54085,0.83742,1.39382,1.29064,0.006601,0.006601,0.006601
105,3040.5,0.58824,0.57376,1.06087,0.71656,0.60264,0.66136,0.56374,0.84391,1.37781,1.26545,0.006568,0.006568,0.006568
106,3070.09,0.59129,0.57642,1.06992,0.72923,0.62251,0.65726,0.55516,0.82159,1.39495,1.24842,0.006535,0.006535,0.006535
107,3099.75,0.59074,0.57164,1.0636,0.733,0.61938,0.66955,0.56926,0.81405,1.28119,1.26258,0.006502,0.006502,0.006502
108,3129.32,0.58076,0.56269,1.05642,0.71897,0.63039,0.65056,0.55021,0.81462,1.34698,1.26828,0.006469,0.006469,0.006469
109,3159.01,0.58258,0.56303,1.05867,0.71141,0.63406,0.64397,0.54533,0.81374,1.44558,1.27186,0.006436,0.006436,0.006436
110,3188.37,0.58122,0.56089,1.05749,0.75371,0.60454,0.63851,0.54142,0.82755,1.45688,1.27183,0.006403,0.006403,0.006403
111,3218.06,0.57512,0.55407,1.05493,0.75285,0.59207,0.63391,0.55184,0.81323,1.30122,1.2574,0.00637,0.00637,0.00637
112,3247.79,0.58124,0.56601,1.05826,0.70992,0.65517,0.64753,0.54904,0.8215,1.42476,1.28111,0.006337,0.006337,0.006337
113,3277.31,0.57926,0.55789,1.05593,0.72927,0.57553,0.63363,0.55243,0.79831,1.42108,1.24651,0.006304,0.006304,0.006304
114,3307.05,0.57205,0.55081,1.05048,0.64842,0.66868,0.64263,0.53757,0.81816,1.42051,1.28071,0.006271,0.006271,0.006271
115,3336.57,0.57583,0.5524,1.05438,0.72433,0.62094,0.65239,0.5557,0.82031,1.42644,1.2692,0.006238,0.006238,0.006238
116,3366.32,0.57825,0.55156,1.0565,0.70693,0.59026,0.63963,0.54462,0.82621,1.32509,1.26832,0.006205,0.006205,0.006205
117,3395.69,0.57306,0.54854,1.05336,0.70696,0.56696,0.62077,0.53934,0.81358,1.39581,1.25832,0.006172,0.006172,0.006172
118,3425.34,0.56735,0.54472,1.04493,0.73499,0.59778,0.63507,0.5593,0.77003,1.37257,1.22057,0.006139,0.006139,0.006139
119,3454.93,0.57187,0.54906,1.05304,0.73865,0.5742,0.6351,0.54325,0.82258,1.32584,1.26665,0.006106,0.006106,0.006106
120,3484.73,0.56631,0.54332,1.0467,0.74789,0.59519,0.63669,0.55241,0.83981,1.42018,1.30239,0.006073,0.006073,0.006073
121,3514.3,0.56909,0.54483,1.04669,0.68124,0.59035,0.60556,0.53412,0.79035,1.37795,1.25173,0.00604,0.00604,0.00604
122,3543.91,0.56224,0.53227,1.04381,0.74352,0.58501,0.62588,0.54427,0.78311,1.34678,1.24075,0.006007,0.006007,0.006007
123,3573.74,0.56428,0.53931,1.04526,0.70164,0.59613,0.63771,0.55691,0.76876,1.27998,1.23406,0.005974,0.005974,0.005974
124,3603.16,0.56062,0.54168,1.0449,0.72661,0.59117,0.62829,0.55597,0.76147,1.35748,1.2378,0.005941,0.005941,0.005941
125,3632.97,0.5618,0.53434,1.04603,0.69614,0.61854,0.60684,0.53723,0.77717,1.45793,1.22092,0.005908,0.005908,0.005908
126,3662.35,0.55113,0.52031,1.03621,0.703,0.57288,0.6394,0.56189,0.76514,1.34942,1.21046,0.005875,0.005875,0.005875
127,3692.09,0.55913,0.52922,1.04198,0.69858,0.59855,0.61831,0.53021,0.81535,1.44284,1.28623,0.005842,0.005842,0.005842
128,3721.73,0.55717,0.52602,1.03956,0.73398,0.61662,0.63886,0.54242,0.76728,1.43725,1.23169,0.005809,0.005809,0.005809
129,3751.29,0.55598,0.5225,1.03702,0.62654,0.61992,0.62014,0.54087,0.78269,1.43131,1.24225,0.005776,0.005776,0.005776
130,3781.05,0.5519,0.52422,1.03792,0.68273,0.61551,0.62071,0.54202,0.79244,1.45463,1.25003,0.005743,0.005743,0.005743
131,3810.64,0.55084,0.5232,1.0367,0.67736,0.5724,0.60221,0.52892,0.7948,1.42551,1.24825,0.00571,0.00571,0.00571
132,3840.68,0.55082,0.5195,1.03505,0.75079,0.55842,0.60534,0.53078,0.8282,1.43637,1.28063,0.005677,0.005677,0.005677
133,3870.06,0.54828,0.51799,1.03369,0.68779,0.61105,0.62849,0.53794,0.83563,1.47798,1.29365,0.005644,0.005644,0.005644
134,3899.78,0.54484,0.51702,1.03319,0.66139,0.63449,0.61842,0.53371,0.77891,1.45569,1.22473,0.005611,0.005611,0.005611
135,3929.48,0.54361,0.51526,1.03077,0.73342,0.56796,0.61024,0.53327,0.78763,1.45018,1.24729,0.005578,0.005578,0.005578
136,3959.05,0.54915,0.51373,1.03382,0.69741,0.57096,0.60104,0.52744,0.79198,1.43884,1.25141,0.005545,0.005545,0.005545
137,3988.79,0.53628,0.50463,1.0235,0.65417,0.63856,0.62865,0.54373,0.79331,1.43324,1.24646,0.005512,0.005512,0.005512
138,4018.35,0.54339,0.51289,1.0314,0.74803,0.57569,0.63015,0.54846,0.80769,1.49702,1.24499,0.005479,0.005479,0.005479
139,4048.18,0.54514,0.51002,1.03152,0.72258,0.62544,0.63046,0.53593,0.82319,1.48981,1.25848,0.005446,0.005446,0.005446
140,4077.7,0.53601,0.49897,1.02514,0.68003,0.58463,0.60196,0.52757,0.78816,1.50292,1.23422,0.005413,0.005413,0.005413
141,4107.51,0.53482,0.49948,1.026,0.73323,0.56242,0.61401,0.53277,0.77674,1.45965,1.21932,0.00538,0.00538,0.00538
142,4137.07,0.53684,0.50224,1.02691,0.69468,0.59342,0.61961,0.54032,0.82784,1.45876,1.28071,0.005347,0.005347,0.005347
143,4166.76,0.53453,0.50496,1.02708,0.72699,0.59214,0.61161,0.53148,0.79907,1.44164,1.2362,0.005314,0.005314,0.005314
144,4196.56,0.53232,0.49973,1.0253,0.72679,0.60419,0.60768,0.52439,0.80163,1.46949,1.2397,0.005281,0.005281,0.005281
145,4226.15,0.5335,0.49818,1.02492,0.74533,0.6136,0.62307,0.54195,0.79399,1.47098,1.25075,0.005248,0.005248,0.005248
146,4255.81,0.531,0.50174,1.02563,0.70168,0.59078,0.60047,0.52075,0.82028,1.5524,1.27626,0.005215,0.005215,0.005215
147,4285.24,0.53008,0.49735,1.0248,0.70573,0.57474,0.60518,0.52603,0.80351,1.49535,1.24929,0.005182,0.005182,0.005182
148,4314.96,0.52625,0.49239,1.02155,0.72005,0.58743,0.60159,0.52685,0.78671,1.50888,1.2489,0.005149,0.005149,0.005149
149,4344.44,0.52599,0.48806,1.01989,0.72012,0.57277,0.59987,0.52658,0.81819,1.53763,1.27057,0.005116,0.005116,0.005116
150,4374.21,0.52249,0.48438,1.01625,0.73381,0.6024,0.61021,0.53803,0.7665,1.46055,1.22498,0.005083,0.005083,0.005083
151,4403.81,0.52677,0.48491,1.02112,0.75984,0.61084,0.61954,0.54197,0.78962,1.51069,1.24288,0.00505,0.00505,0.00505
152,4433.32,0.51831,0.48302,1.01502,0.73358,0.5837,0.6128,0.54213,0.80533,1.4831,1.25112,0.005017,0.005017,0.005017
153,4463.13,0.517,0.48046,1.01248,0.67787,0.5946,0.62129,0.54753,0.77715,1.38877,1.22746,0.004984,0.004984,0.004984
154,4492.82,0.51608,0.48629,1.0167,0.73023,0.57833,0.62466,0.54827,0.79106,1.37171,1.22611,0.004951,0.004951,0.004951
155,4522.72,0.51793,0.47968,1.01413,0.7404,0.59967,0.64793,0.56735,0.76659,1.34372,1.20568,0.004918,0.004918,0.004918
156,4552.32,0.52122,0.48206,1.01418,0.77189,0.57666,0.63567,0.55566,0.77083,1.38453,1.21417,0.004885,0.004885,0.004885
157,4582.11,0.52476,0.48933,1.02387,0.70609,0.60874,0.64148,0.55903,0.77866,1.40426,1.23916,0.004852,0.004852,0.004852
158,4611.69,0.5169,0.4772,1.01487,0.68582,0.61434,0.64229,0.56154,0.77201,1.37605,1.23858,0.004819,0.004819,0.004819
159,4641.21,0.51413,0.47537,1.01511,0.70377,0.60667,0.63029,0.55642,0.77974,1.35965,1.22504,0.004786,0.004786,0.004786
160,4671.05,0.51551,0.47493,1.01558,0.71082,0.5821,0.61668,0.55052,0.76292,1.39599,1.22218,0.004753,0.004753,0.004753
161,4700.53,0.50842,0.47077,1.00802,0.73868,0.56761,0.62266,0.55115,0.77072,1.44078,1.2359,0.00472,0.00472,0.00472
162,4730.39,0.50624,0.46224,1.00699,0.75997,0.6218,0.644,0.56586,0.77253,1.44942,1.23762,0.004687,0.004687,0.004687
163,4759.79,0.50579,0.46748,1.00866,0.70504,0.61519,0.63307,0.55262,0.789,1.41976,1.25283,0.004654,0.004654,0.004654
164,4789.3,0.51236,0.47133,1.01163,0.72495,0.58238,0.62444,0.54513,0.78044,1.4017,1.24443,0.004621,0.004621,0.004621
165,4818.88,0.50756,0.46566,1.0068,0.73356,0.58297,0.61075,0.54208,0.79547,1.44917,1.26399,0.004588,0.004588,0.004588
166,4848.58,0.50802,0.4685,1.00906,0.73027,0.58494,0.62002,0.54546,0.77097,1.42127,1.24402,0.004555,0.004555,0.004555
167,4878.2,0.50753,0.46654,1.00882,0.7208,0.59454,0.63223,0.55181,0.78536,1.45059,1.24905,0.004522,0.004522,0.004522
168,4907.85,0.49621,0.4548,1.00285,0.7163,0.59817,0.63362,0.5536,0.79174,1.45185,1.26265,0.004489,0.004489,0.004489
169,4937.62,0.49912,0.45853,1.00459,0.68201,0.61225,0.6331,0.55849,0.79854,1.48828,1.27818,0.004456,0.004456,0.004456
170,4967.1,0.50224,0.46357,1.00558,0.71107,0.5855,0.62301,0.54053,0.80164,1.49245,1.26674,0.004423,0.004423,0.004423
